Task,Filename,Type,NIQE,BRISQUE,Entropy,LOE,Sharpness,Gradient
LowLight_CLAHE,img_107.PNG,low_light,,,2.7610130310058594,203.015,,
LowLight_CLAHE,img_108.PNG,low_light,,,3.3006184101104736,260.0272,,
LowLight_CLAHE,img_109.PNG,low_light,,,2.8960602283477783,234.9358,,
LowLight_CLAHE,img_110.PNG,low_light,,,2.5434348583221436,274.9546,,
LowLight_CLAHE,img_111.PNG,low_light,,,3.1468799114227295,192.1655,,
LowLight_CLAHE,img_112.PNG,low_light,,,1.885095238685608,124.9773,,
LowLight_CLAHE,img_113.PNG,low_light,,,2.2305855751037598,101.9334,,
LowLight_CLAHE,img_114.PNG,low_light,,,2.9242889881134033,156.0073,,
LowLight_CLAHE,img_115.PNG,low_light,,,3.220916748046875,241.2261,,
LowLight_CLAHE,img_116.PNG,low_light,,,3.257359027862549,184.5733,,
LowLight_CLAHE,img_117.PNG,low_light,,,3.166008949279785,196.6447,,
LowLight_CLAHE,img_118.PNG,low_light,,,4.071343898773193,267.9451,,
LowLight_CLAHE,img_119.PNG,low_light,,,2.9377975463867188,239.8578,,
LowLight_CLAHE,img_120.PNG,low_light,,,1.363373041152954,209.9485,,
LowLight_CLAHE,img_121.PNG,low_light,,,3.2729365825653076,316.3683,,
LowLight_CLAHE,img_122.PNG,low_light,,,2.544703722000122,171.1984,,
LowLight_CLAHE,img_123.PNG,low_light,,,1.5679234266281128,119.693,,
LowLight_CLAHE,img_124.PNG,low_light,,,3.50190806388855,377.5889,,
LowLight_CLAHE,img_125.PNG,low_light,,,3.5362892150878906,427.958,,
LowLight_CLAHE,img_126.PNG,low_light,,,3.998950958251953,317.4581,,
LowLight_CLAHE,img_127.PNG,low_light,,,3.055368185043335,241.1608,,
LowLight_CLAHE,img_128.PNG,low_light,,,2.200385808944702,74.0638,,
LowLight_CLAHE,img_129.PNG,low_light,,,2.396592378616333,182.7428,,
LowLight_CLAHE,img_130.PNG,low_light,,,1.4198822975158691,221.4742,,
LowLight_CLAHE,img_131.PNG,low_light,,,0.8417304754257202,17.7254,,
LowLight_CLAHE,img_132.PNG,low_light,,,1.333673357963562,118.0335,,
LowLight_CLAHE,img_133.PNG,low_light,,,2.3209340572357178,231.578,,
LowLight_CLAHE,img_134.PNG,low_light,,,3.3349506855010986,202.374,,
LowLight_CLAHE,img_135.PNG,low_light,,,3.1733217239379883,183.186,,
LowLight_CLAHE,img_136.PNG,low_light,,,1.4618775844573975,51.431,,
LowLight_CLAHE,img_137.PNG,low_light,,,2.937025547027588,131.1118,,
LowLight_CLAHE,img_138.PNG,low_light,,,1.8241634368896484,236.99,,
LowLight_CLAHE,img_139.PNG,low_light,,,0.4153585731983185,118.415,,
LowLight_CLAHE,img_140.PNG,low_light,,,1.3718847036361694,188.3151,,
LowLight_CLAHE,img_141.PNG,low_light,,,2.001713275909424,295.0264,,
LowLight_CLAHE,img_142.PNG,low_light,,,3.119612455368042,343.2919,,
LowLight_CLAHE,img_143.PNG,low_light,,,3.1171066761016846,341.7547,,
LowLight_CLAHE,img_144.PNG,low_light,,,3.2740955352783203,337.1138,,
LowLight_CLAHE,img_145.PNG,low_light,,,3.2425830364227295,349.2412,,
LowLight_CLAHE,img_146.PNG,low_light,,,3.2712628841400146,362.6819,,
LowLight_CLAHE,img_147.PNG,low_light,,,3.59091854095459,271.0575,,
LowLight_CLAHE,img_148.PNG,low_light,,,3.4139742851257324,294.465,,
LowLight_CLAHE,img_149.PNG,low_light,,,2.359560251235962,350.1556,,
LowLight_CLAHE,img_150.PNG,low_light,,,2.1718802452087402,209.3814,,
LowLight_CLAHE,img_151.PNG,low_light,,,1.290690302848816,113.8622,,
LowLight_CLAHE,img_152.PNG,low_light,,,1.740325689315796,138.4089,,
LowLight_CLAHE,img_153.PNG,low_light,,,4.173766613006592,218.9515,,
LowLight_CLAHE,img_154.PNG,low_light,,,2.580152988433838,228.3267,,
LowLight_CLAHE,img_155.PNG,low_light,,,1.1460031270980835,52.5226,,
LowLight_CLAHE,img_156.PNG,low_light,,,3.393899917602539,235.3074,,
LowLight_CLAHE,img_157.PNG,low_light,,,1.3638856410980225,86.7877,,
LowLight_CLAHE,img_158.PNG,low_light,,,1.9350261688232422,224.7084,,
LowLight_CLAHE,img_159.PNG,low_light,,,1.5290926694869995,170.2846,,
LowLight_CLAHE,img_160.PNG,low_light,,,2.0822396278381348,99.7359,,
LowLight_CLAHE,img_161.PNG,low_light,,,1.8244856595993042,215.5048,,
LowLight_CLAHE,img_162.PNG,low_light,,,0.5516549944877625,63.6796,,
LowLight_CLAHE,img_163.PNG,low_light,,,2.3656411170959473,157.454,,
LowLight_CLAHE,img_164.PNG,low_light,,,2.126338005065918,177.4885,,
LowLight_CLAHE,img_165.PNG,low_light,,,3.0938327312469482,174.0074,,
LowLight_CLAHE,img_166.PNG,low_light,,,2.3697619438171387,193.7628,,
LowLight_CLAHE,img_167.PNG,low_light,,,3.4822707176208496,178.8432,,
LowLight_CLAHE,img_168.PNG,low_light,,,2.1316254138946533,186.5956,,
LowLight_CLAHE,img_169.PNG,low_light,,,2.8368008136749268,190.2323,,
LowLight_ZeroDCE,img_1.PNG,low_light,,,2.9277825355529785,313.7266,,
LowLight_ZeroDCE,img_2.PNG,low_light,,,3.091416835784912,406.0253,,
LowLight_ZeroDCE,img_3.PNG,low_light,,,4.000150680541992,269.7704,,
LowLight_ZeroDCE,img_4.PNG,low_light,,,4.03873872756958,320.8611,,
LowLight_ZeroDCE,img_5.PNG,low_light,,,3.4862935543060303,253.0496,,
LowLight_ZeroDCE,img_6.PNG,low_light,,,3.461209535598755,291.2333,,
