Task,Filename,NIQE,BRISQUE,MANIQA,Entropy,Tenengrad,LOE
LowLight_CLAHE,img_73.PNG,12.093758810517054,111.36810302734375,0.24913060665130615,1.0511568,176.27937227161928,113.9163
LowLight_CLAHE,img_74.PNG,9.066863348792008,101.89678955078125,0.28546619415283203,0.7905141,272.7272966466928,32.3885
LowLight_CLAHE,img_75.PNG,9.08334696328512,107.644775390625,0.28490763902664185,0.8597413,172.6189849127108,58.735
LowLight_CLAHE,img_76.PNG,8.872548785000312,105.42010498046875,0.277034729719162,1.528555,259.35769790761424,119.6871
LowLight_CLAHE,img_77.PNG,8.257864765857349,87.6796875,0.2548465132713318,2.9755,332.23077973974523,513.1422
LowLight_CLAHE,img_78.PNG,10.918793466112264,112.64349365234375,0.25225284695625305,2.529573,179.3899634803354,710.4124
LowLight_CLAHE,img_79.PNG,10.476019557097391,101.03656005859375,0.25939515233039856,2.6691191,175.73802738152614,649.5458
LowLight_CLAHE,img_80.PNG,11.860731017032817,109.71856689453125,0.2509569525718689,1.7805521,66.04699234567057,114.944
LowLight_CLAHE,img_81.PNG,10.880987330867843,108.54425048828125,0.25013911724090576,1.7980402,115.5874909712814,132.711
LowLight_CLAHE,img_82.PNG,12.348912567291089,104.86932373046875,0.2602000832557678,2.3582685,112.90655798050176,181.4917
LowLight_CLAHE,img_83.PNG,11.329464404128448,106.04248046875,0.25953787565231323,2.1442304,106.79623241534509,154.7752
LowLight_CLAHE,img_84.PNG,9.020502890990073,103.61651611328125,0.24977050721645355,2.0305588,260.1993654913837,177.6572
LowLight_CLAHE,img_85.PNG,7.75516011528993,81.50018310546875,0.24804145097732544,3.2539196,446.663964692176,258.0019
LowLight_CLAHE,img_86.PNG,7.398765355951586,77.251708984375,0.24225763976573944,3.5508332,612.385132562461,250.9693
LowLight_CLAHE,img_87.PNG,8.186276736766915,82.71527099609375,0.24119871854782104,3.635738,340.8243299141212,278.3499
LowLight_CLAHE,img_88.PNG,9.455880053348944,90.76763916015625,0.24368804693222046,2.9733212,218.3757161307624,254.1846
LowLight_CLAHE,img_89.PNG,10.426211918899995,105.03887939453125,0.24827435612678528,1.7322038,88.87163976709385,110.5012
LowLight_CLAHE,img_90.PNG,10.404049723868708,107.09405517578125,0.24667911231517792,1.4243219,105.4415856137568,123.3309
LowLight_CLAHE,img_91.PNG,8.334496292831453,105.35504150390625,0.2404109686613083,1.7638924,183.89443198449655,126.1018
LowLight_CLAHE,img_92.PNG,8.209674322696975,106.84454345703125,0.2448498159646988,1.586367,200.25686973219334,130.5526
LowLight_CLAHE,img_93.PNG,8.627169230261837,82.46929931640625,0.2422572672367096,3.0780654,419.90112746716454,204.2084
